CTR, t=1, c=2

0.9, 1.001    1.010, 1.001    1.099+-1.4%, 1.001    0.988+-1.7%, 1.001    1.082+-1.2%, 1.006    1.214+-1.3%, 1.010    1.297, 1.013    1.321+-1.2%, 1.018    1.313, 1.019    1.327+-0.8%, 1.019    1.325+-0.6%
0.5, 1.001    1.001+-1.5%, 1.001    1.093, 1.001    0.993+-0.9%, 1.002    1.081, 1.008    1.238+-0.9%, 1.014    1.318, 1.019    1.323, 1.026    1.346+-0.7%, 1.029    1.299+-3.6%, 1.032    1.336
0.1, 1.001    1.009+-1.7%, 1.001    1.103+-1.3%, 1.001    1.023+-1.8%, 1.002    1.091+-0.6%, 1.013    1.306+-1.3%, 1.028    1.392+-1.0%, 1.040    1.424+-0.6%, 1.064    1.405+-0.9%, 1.073    1.411+-1.9%, 1.082    1.397
0.05, 1.001    1.001, 1.001    1.108+-1.6%, 1.001    1.114+-1.7%, 1.002    1.147+-3.5%, 1.015    1.348+-0.7%, 1.031    1.409+-1.0%, 1.048    1.453+-0.7%, 1.081    1.442+-1.4%, 1.097    1.427, 1.115    1.415+-1.6%
0.03, 1.001    1.007+-0.6%, 1.001    1.109+-1.7%, 1.001    1.112+-1.1%, 1.003    1.192+-1.1%, 1.015    1.370+-1.8%, 1.034    1.406, 1.052    1.439+-1.1%, 1.095    1.454+-1.3%, 1.118    1.423, 1.143    1.409+-6.8%
0.01, 1.001    1.026, 1.001    1.118, 1.001    1.118+-1.5%, 1.003    1.196, 1.017    1.371+-1.5%, 1.037    1.432+-1.4%, 1.058    1.476, 1.117    1.486+-1.8%, 1.158    1.495, 1.227    1.441+-2.2%
0.005, 1.001    1.015+-1.5%, 1.001    1.105, 1.001    1.120+-0.8%, 1.003    1.205, 1.017    1.360+-1.5%, 1.038    1.431+-1.7%, 1.060    1.466+-1.5%, 1.128    1.490+-2.0%, 1.181    1.698, 1.282    1.658+-0.8%
0.001, 1.001    1.010, 1.001    1.107, 1.001    1.101+-0.9%, 1.003    1.189+-1.1%, 1.017    1.374+-0.7%, 1.038    1.448+-0.9%, 1.062    1.474+-1.7%, 1.136    1.505+-0.8%, 1.196    1.686+-1.4%, 1.362+-0.7%    1.602+-1.4%



CTR, t=32, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.002    1.000+-3.9%, 1.002    1.017+-3.3%, 1.003    1.022+-3.2%, 1.005    1.098+-4.4%, 1.019    1.274+-6.4%, 1.028    1.329+-4.6%, 1.033    1.342+-5.2%, 1.040    1.348+-5.0%, 1.042    1.350+-5.0%, 1.043    1.363+-4.4%
0.95, 1.002    1.005+-4.5%, 1.002    1.120+-4.6%, 1.003    1.130+-4.4%, 1.005    1.226+-5.0%, 1.021    1.406+-4.7%, 1.030    1.445+-5.7%, 1.037    1.452+-4.4%, 1.045    1.474+-5.5%, 1.048    1.469+-4.9%, 1.050    1.464+-5.3%
0.9, 1.002    1.001+-3.6%, 1.003    1.121+-4.8%, 1.003    1.019+-4.5%, 1.005    1.112+-4.3%, 1.020    1.294+-5.9%, 1.031    1.443+-5.9%, 1.038    1.456+-5.4%, 1.046    1.475+-5.0%, 1.049    1.470+-5.5%, 1.051    1.470+-5.0%
