CTR, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.001, 1.000    0.999, 1.000    0.999, 1.000    1.013, 1.000    1.063, 1.000    1.313, 1.001    1.434, 1.002    1.526, 1.009    1.734, 1.016    1.939, 1.035    2.005



CTR, t=32, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.982, 1.000    0.975, 1.000    1.056, 1.000    1.197, 1.000    1.249, 1.000    1.240, 1.000    1.268, 1.000    1.269, 1.000    1.290
0.95, 1.000    0.995, 1.000    0.978, 1.000    0.993, 1.000    1.057, 1.000    1.208, 1.000    1.249, 1.000    1.279, 1.000    1.264, 1.000    1.298, 1.000    1.294
0.9, 1.000    1.001, 1.000    0.985, 1.000    0.993, 1.000    1.053, 1.000    1.228, 1.000    1.263, 1.000    1.269, 1.000    1.301, 1.000    1.291, 1.000    1.302
0.5, 1.000    0.991, 1.000    1.024, 1.000    0.981, 1.000    1.046, 1.000    1.233, 1.000    1.292, 1.001    1.301, 1.001    1.332, 1.001    1.342, 1.001    1.344
0.1, 1.000    1.014, 1.000    0.996, 1.000    1.004, 1.000    1.081, 1.001    1.352, 1.001    1.431, 1.002    1.500, 1.003    1.545, 1.003    1.572, 1.004    1.582
0.05, 1.000    1.019, 1.000    0.993, 1.000    1.006, 1.000    1.088, 1.001    1.378, 1.001    1.493, 1.002    1.569, 1.004    1.636, 1.005    1.671, 1.006    1.661
0.03, 1.000    1.008, 1.000    1.000, 1.000    1.017, 1.000    1.092, 1.001    1.405, 1.002    1.524, 1.003    1.586, 1.005    1.698, 1.007    1.719, 1.008    1.760
0.01, 1.000    1.021, 1.000    1.004, 1.000    1.007, 1.000    1.094, 1.001    1.391, 1.002    1.520, 1.004    1.631, 1.008    1.755, 1.011    1.807, 1.015    1.844
0.005, 1.000    1.027, 1.000    1.006, 1.000    1.023, 1.000    1.107, 1.001    1.419, 1.002    1.546, 1.004    1.639, 1.010    1.768, 1.012    1.966, 1.018    2.034
0.001, 1.000    1.019, 1.000    1.028, 1.000    1.019, 1.000    1.101, 1.001    1.415, 1.002    1.558, 1.004    1.631, 1.010    1.788, 1.015    1.986, 1.022    2.046



CTR, t=64, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.009, 1.000    1.012, 1.000    1.092, 1.001    1.264, 1.001    1.306, 1.001    1.310, 1.002    1.330, 1.002    1.333, 1.002    1.333
0.95, 1.000    1.012, 1.000    1.003, 1.000    1.023, 1.000    1.081, 1.001    1.230, 1.001    1.306, 1.001    1.325, 1.002    1.337, 1.002    1.337, 1.002    1.356
0.9, 1.000    1.017, 1.000    1.008, 1.000    1.018, 1.000    1.103, 1.001    1.272, 1.001    1.310, 1.002    1.326, 1.002    1.340, 1.002    1.348, 1.002    1.360
0.5, 1.000    1.015, 1.000    1.003, 1.000    1.024, 1.000    1.089, 1.001    1.305, 1.002    1.338, 1.003    1.370, 1.003    1.401, 1.003    1.415, 1.565    0.917
0.1, 1.000    1.022, 1.000    1.010, 1.000    1.023, 1.000    1.084, 1.002    1.389, 1.005    1.489, 1.009    1.513, 1.006    1.585, 1.009    1.563, 1.009    1.602
0.05, 1.000    1.010, 1.000    1.013, 1.001    1.022, 1.001    1.115, 1.002    1.411, 1.004    1.512, 1.006    1.566, 1.008    1.643, 1.009    1.650, 1.010    1.675
0.03, 1.001    1.004, 1.001    1.014, 1.000    1.031, 1.001    1.093, 1.003    1.413, 1.004    1.525, 1.006    1.582, 1.014    1.668, 1.011    1.683, 1.012    1.699
0.01, 1.001    1.011, 1.001    1.006, 1.001    1.016, 1.001    1.129, 1.003    1.398, 1.005    1.511, 1.009    1.618, 1.011    1.677, 1.013    1.712, 1.016    1.724
0.005, 1.001    1.011, 1.001    1.009, 1.001    1.006, 1.001    1.128, 1.003    1.428, 1.005    1.520, 1.008    1.592, 1.013    1.672, 1.014    1.718, 1.017    1.739
0.001, 1.001    1.007, 1.001    0.999, 1.001    1.029, 1.002    1.137, 1.003    1.429, 1.005    1.544, 1.007    1.612, 1.013    1.696, 1.015    1.745, 1.019    1.742



