RAND, t=1, c=4

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
0.95, 1.000    0.982, 1.000    0.981, 1.000    0.993, 1.000    1.085, 1.000    1.235, 1.000    1.297, 1.000    1.328, 1.000    1.377, 1.000    1.418, 1.000    1.411
0.9, 1.000    1.008, 1.000    0.994, 1.000    1.003, 1.000    1.085, 1.000    1.299, 1.000    1.323, 1.000    1.335, 1.000    1.364, 1.000    1.439, 1.000    1.381
0.5, 1.000    1.040, 1.000    1.039, 1.000    1.020, 1.000    1.123, 1.000    1.364, 1.000    1.354, 1.000    1.399, 1.000    1.419, 1.000    1.441, 1.000    1.558
0.1, 1.000    1.034, 1.000    1.027, 1.000    1.037, 1.000    1.143, 1.000    1.422, 1.000    1.580, 1.000    1.529, 1.001    1.678, 1.000    1.585, 1.003    1.828
0.05, 1.000    1.052, 1.000    1.032, 1.000    1.071, 1.000    1.143, 1.000    1.372, 1.000    1.436, 1.000    1.523, 1.000    1.573, 1.001    1.680, 1.011    1.938
0.03, 1.000    1.030, 1.000    1.035, 1.000    1.041, 1.000    1.176, 1.000    1.380, 1.000    1.467, 1.000    1.620, 1.002    1.802, 1.001    1.714, 1.006    1.900
0.01, 1.000    1.030, 1.000    1.029, 1.000    1.045, 1.000    1.168, 1.000    1.418, 1.000    1.486, 1.000    1.549, 1.001    1.716, 1.002    1.865, 1.017    1.980
0.005, 1.000    1.016, 1.000    1.061, 1.000    1.057, 1.000    1.151, 1.010    1.612, 1.000    1.563, 1.000    1.602, 1.001    1.832, 1.046    0.768, 1.017    2.068
0.001, 1.000    1.032, 1.000    1.057, 1.000    1.047, 1.000    1.154, 1.000    1.425, 1.000    1.639, 1.000    1.622, 1.004    1.901, 1.007    2.015, 1.043    1.898



