RAND, t=1, c=2

0.1, 0.596    1.027+-1.6%, 0.596    0.989+-0.6%, 0.596    1.025+-0.5%, 0.596    1.080+-1.4%, 0.596    1.190, 0.596    1.224, 0.596    1.239+-0.5%, 0.596    1.270+-0.6%, 0.596    1.280+-0.8%, 0.596    1.301+-0.8%
0.05, 0.596    1.016, 0.596    0.985+-1.0%, 0.596    1.001+-0.7%, 0.596    1.041, 0.596    1.181, 0.596    1.222+-0.7%, 0.596    1.255+-0.6%, 0.596    1.294, 0.596    1.311+-0.6%, 0.596    1.337
0.03, 0.596    1.023+-1.1%, 0.596    0.998+-0.9%, 0.596    0.992+-0.8%, 0.596    1.056, 0.596    1.171, 0.596    1.230, 0.596    1.257, 0.596    1.300, 0.596    1.327, 0.596    1.356
0.01, 0.596    1.015, 0.596    0.988+-0.9%, 0.596    0.985, 0.596    1.054, 0.596    1.181, 0.596    1.227, 0.596    1.268, 0.596    1.331, 0.596    1.363, 0.596    1.399
0.005, 0.596    1.025+-2.0%, 0.596    0.987+-1.1%, 0.596    0.998+-1.3%, 0.596    1.042+-0.6%, 0.596    1.193, 0.596    1.236, 0.596    1.282, 0.596    1.338, 0.596    1.375, 0.596    1.426
0.001, 0.596    1.021+-0.8%, 0.596    0.984+-0.6%, 0.596    0.998, 0.596    1.049+-0.8%, 0.596    1.189+-1.3%, 0.596    1.242, 0.596    1.278, 0.596    1.345, 0.596    1.391, 0.596    1.443+-0.6%



RAND, t=16, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 0.596    1.000+-2.5%, 0.596    0.978, 0.596    1.021, 0.596    1.064, 0.596    1.160, 0.596    1.127+-3.8%, 0.596    1.143+-3.3%, 0.596    1.191, 0.596    1.171+-2.3%, 0.596    1.200
0.95, 0.596    0.978, 0.596    0.981, 0.596    0.982, 0.596    1.020+-0.7%, 0.596    1.126, 0.596    1.157, 0.596    1.140+-3.5%, 0.596    1.192, 0.596    1.215, 0.596    1.218
0.9, 0.596    1.002+-2.6%, 0.596    0.980+-0.6%, 0.596    0.982, 0.596    1.024, 0.596    1.050+-9.9%, 0.596    1.159, 0.596    1.172, 0.596    1.159+-3.1%, 0.596    1.164+-3.4%, 0.596    1.203
0.5, 0.596    1.018, 0.596    0.983, 0.596    0.967+-2.2%, 0.596    1.027, 0.596    1.139, 0.596    1.173, 0.596    1.189, 0.596    1.211, 0.596    1.215, 0.596    1.202+-2.4%
0.1, 0.596    1.027, 0.596    0.966+-3.3%, 0.596    0.992, 0.596    1.036, 0.596    1.167, 0.596    1.173+-3.2%, 0.600+-1.1%    1.026+-24.2%, 0.596    1.274, 0.596    1.290, 0.596    1.302
0.05, 0.596    0.989, 0.596    0.985+-0.6%, 0.596    0.992, 0.596    1.039, 0.596    1.173, 0.596    1.217, 0.596    1.252, 0.596    1.296, 0.596    1.314, 0.596    1.348
0.03, 0.596    0.991, 0.596    0.989, 0.596    0.968+-3.3%, 0.596    1.041, 0.596    1.172, 0.596    1.224, 0.596    1.258, 0.596    1.270+-3.3%, 0.596    1.311+-3.1%, 0.596    1.376
0.01, 0.596    0.971+-3.4%, 0.596    0.991, 0.596    0.994, 0.596    1.009+-4.2%, 0.596    1.182, 0.596    1.223, 0.596    1.271, 0.596    1.345, 0.596    1.380, 0.596    1.428
0.005, 0.596    0.992, 0.596    1.025, 0.596    0.969+-3.4%, 0.596    1.038, 0.596    1.146+-3.9%, 0.596    1.250, 0.596    1.286, 0.596    1.357, 0.596    1.386, 0.596    1.446
0.001, 0.596    0.993, 0.596    1.024, 0.596    0.996, 0.596    1.013+-3.3%, 0.596    1.151+-3.7%, 0.596    1.249, 0.596    1.275+-1.7%, 0.596    1.372, 0.596    1.406, 0.596    1.485



RAND, t=32, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
