RAND, t=1, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.000, 1.000    0.992, 1.000    1.065, 1.000    1.210, 1.000    1.238, 1.000    1.263, 1.000    1.238, 1.000    1.279, 1.000    1.304
0.95, 1.000    0.995, 1.000    0.985, 1.000    1.002, 1.000    1.057, 1.000    1.194, 1.000    1.241, 1.000    1.254, 1.000    1.271, 1.000    1.284, 1.000    1.292
0.9, 1.000    0.996, 1.000    0.989, 1.000    1.005, 1.000    1.063, 1.000    1.214, 1.000    1.240, 1.000    1.260, 1.000    1.283, 1.000    1.288, 1.000    1.292
0.5, 1.000    0.997, 1.000    0.979, 1.000    1.001, 1.000    1.066, 1.000    1.233, 1.000    1.245, 1.000    1.281, 1.000    1.300, 1.000    1.302, 1.000    1.309
0.1, 1.000    0.951, 1.000    0.982, 1.000    1.003, 1.000    1.069, 1.000    1.258, 1.000    1.300, 1.000    1.329, 1.000    1.378, 1.000    1.385, 1.000    1.396
0.05, 1.000    1.003, 1.000    0.985, 1.000    0.993, 1.000    1.064, 1.000    1.249, 1.000    1.298, 1.000    1.241, 1.000    1.405, 1.000    1.409, 1.000    1.428
0.03, 1.000    0.991, 1.000    0.986, 1.000    0.994, 1.000    1.060, 1.000    1.256, 1.000    1.313, 1.000    1.249, 1.000    1.409, 1.000    1.437, 1.000    1.440
0.01, 1.000    0.998, 1.000    0.986, 1.000    0.989, 1.000    1.064, 1.000    1.261, 1.000    1.210, 1.000    1.367, 1.000    1.437, 1.000    1.479, 1.000    1.498
0.005, 1.000    0.997, 1.000    0.973, 1.000    0.997, 1.000    1.064, 1.000    1.265, 1.000    1.330, 1.000    1.373, 1.000    1.427, 1.000    1.441, 1.000    1.488
0.001, 1.000    0.998, 1.000    0.991, 1.000    0.989, 1.000    1.060, 1.000    1.249, 1.000    1.328, 1.000    1.367, 1.000    1.466, 1.000    1.464, 1.000    1.588



RAND, t=32, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    0.996, 1.000    1.002, 1.000    1.086, 1.000    1.285, 1.000    1.340, 1.000    1.350, 1.000    1.397, 1.000    1.395, 1.000    1.396
0.95, 1.000    1.004, 1.000    0.988, 1.000    0.995, 1.000    1.066, 1.000    1.257, 1.000    1.321, 1.000    1.342, 1.000    1.372, 1.000    1.381, 1.000    1.394
0.9, 1.000    1.010, 1.000    0.984, 1.000    1.010, 1.000    1.087, 1.000    1.316, 1.000    1.325, 1.000    1.340, 1.000    1.358, 1.000    1.374, 1.000    1.381
0.5, 1.000    1.012, 1.000    0.983, 1.000    1.013, 1.000    1.097, 1.000    1.336, 1.000    1.341, 1.000    1.385, 1.000    1.400, 1.000    1.393, 1.000    1.423
0.1, 1.000    1.014, 1.000    0.984, 1.000    1.028, 1.000    1.123, 1.000    1.417, 1.000    1.460, 1.000    1.496, 1.000    1.575, 1.000    1.597, 1.000    1.603
0.05, 1.000    1.024, 1.000    0.992, 1.000    1.009, 1.000    1.101, 1.000    1.402, 1.000    1.499, 1.000    1.553, 1.000    1.634, 1.000    1.685, 1.000    1.666
0.03, 1.000    1.025, 1.000    0.990, 1.000    1.002, 1.000    1.098, 1.000    1.408, 1.000    1.505, 1.000    1.565, 1.000    1.667, 1.000    1.690, 1.000    1.731
0.01, 1.000    1.020, 1.000    0.994, 1.000    1.006, 1.000    1.103, 1.000    1.417, 1.000    1.547, 1.000    1.593, 1.000    1.732, 1.000    1.800, 1.000    1.771
0.005, 1.000    1.029, 1.000    0.992, 1.000    1.005, 1.000    1.103, 1.000    1.417, 1.000    1.530, 1.000    1.628, 1.000    1.775, 1.000    1.803, 1.000    1.858
0.001, 1.000    1.027, 1.000    1.000, 1.000    0.996, 1.000    1.096, 1.000    1.422, 1.000    1.541, 1.000    1.631, 1.000    1.783, 1.000    1.864, 1.000    1.937



RAND, t=64, c=2

0, 1, 0.95, 0.9, 0.5, 0.1, 0.05, 0.03, 0.01, 0.005, 0.001
1, 1.000    1.000, 1.000    1.019, 1.000    1.015, 1.000    1.106, 1.000    1.287, 1.000    1.323, 1.000    1.291, 1.000    1.364, 1.000    1.375, 1.000    1.369
0.95, 1.000    1.011, 1.000    1.011, 1.000    1.010, 1.000    1.103, 1.000    1.292, 1.000    1.314, 1.000    1.324, 1.000    1.343, 1.000    1.372, 1.000    1.382
0.9, 1.000    1.011, 1.000    1.006, 1.000    1.018, 1.000    1.113, 1.000    1.293, 1.000    1.327, 1.000    1.336, 1.000    1.387, 1.000    1.383, 1.000    1.362
0.5, 1.000    1.015, 1.000    1.012, 1.000    1.023, 1.000    1.118, 1.000    1.324, 1.000    1.379, 1.000    1.391, 1.000    1.416, 1.000    1.406, 1.000    1.430
0.1, 1.000    1.019, 1.000    1.032, 1.000    1.037, 1.000    1.137, 1.000    1.409, 1.000    1.452, 1.000    1.468, 1.000    1.516, 1.000    1.540, 1.000    1.557
0.05, 1.000    1.032, 1.000    1.028, 1.000    1.039, 1.000    1.139, 1.000    1.392, 1.000    1.476, 1.000    1.508, 1.000    1.574, 1.000    1.601, 1.000    1.605
0.03, 1.000    1.019, 1.000    1.023, 1.000    1.041, 1.000    1.147, 1.000    1.402, 1.000    1.464, 1.000    1.523, 1.000    1.585, 1.000    1.625, 1.000    1.630
0.01, 1.000    1.032, 1.000    1.032, 1.000    1.032, 1.000    1.147, 1.000    1.416, 1.000    1.490, 1.000    1.556, 1.000    1.634, 1.000    1.685, 1.000    1.695
0.005, 1.000    1.024, 1.000    1.024, 1.000    1.018, 1.000    1.154, 1.000    1.435, 1.000    1.486, 1.000    1.578, 1.000    1.635, 1.000    1.653, 1.000    1.697
0.001, 1.000    1.044, 1.000    1.027, 1.000    1.044, 1.000    1.150, 1.000    1.416, 1.000    1.527, 1.000    1.554, 1.000    1.696, 1.000    1.653, 1.000    1.750



